frame,shepherd,min_distance,max_distance,avg_distance,furthest_sheep_distance,dog_speed,min_speed,max_speed,avg_speed
0,dog,,,,,0.0,0.0,0.0,0.0
1,dog,,,,,0.0,0.0,0.0,0.0
2,dog,,,,,0.0,0.0,0.0,0.0
3,dog,,,,,0.0,0.0,0.0,0.0
4,dog,,,,,48.89401803901987,0.0,0.0,0.0
5,dog,,,,,41.92627457812106,0.0,0.0,0.0
6,dog,,,,,45.62071897723665,0.0,0.0,0.0
7,dog,,,,,46.384938288198676,0.0,0.0,0.0
8,dog,,,,,33.54101966249685,0.0,0.0,0.0
9,dog,127.66362050325849,127.66362050325849,127.66362050325849,0.0,90.15611460128481,21.86606960566988,21.86606960566988,21.86606960566988
10,dog,,,,,21.86606960566988,0.0,0.0,0.0
11,dog,,,,,19.121323175972943,0.0,0.0,0.0
12,dog,,,,,33.75,0.0,0.0,0.0
13,dog,,,,,45.0,0.0,0.0,0.0
14,dog,,,,,52.63375817856825,0.0,0.0,0.0
15,dog,,,,,71.6436494045355,0.0,0.0,0.0
16,dog,,,,,67.91538853603063,0.0,0.0,0.0
17,dog,136.1800279042415,136.1800279042415,136.1800279042415,0.0,106.06601717798213,67.5,67.5,67.5
18,dog,,,,,60.0,0.0,0.0,0.0
19,dog,,,,,47.434164902525694,0.0,0.0,0.0
20,dog,,,,,37.5,0.0,0.0,0.0
21,dog,,,,,28.559149146989657,0.0,0.0,0.0
22,dog,147.6787053031005,147.6787053031005,147.6787053031005,0.0,112.5,25.155764746872634,25.155764746872634,25.155764746872634
23,dog,,,,,25.155764746872634,0.0,0.0,0.0
24,dog,,,,,33.75,0.0,0.0,0.0
25,dog,145.91093173576817,145.91093173576817,145.91093173576817,0.0,101.52739778010663,51.005514407757914,51.005514407757914,51.005514407757914
26,dog,,,,,52.63375817856825,0.0,0.0,0.0
27,dog,,,,,56.374861418898405,0.0,0.0,0.0
28,dog,148.47558721890948,148.47558721890948,148.47558721890948,0.0,33.54101966249685,45.62071897723665,45.62071897723665,45.62071897723665
29,dog,152.7776161615307,152.7776161615307,152.7776161615307,0.0,41.92627457812106,50.03124024047376,50.03124024047376,50.03124024047376
30,dog,154.74172029546526,154.74172029546526,154.74172029546526,0.0,68.43107846585497,56.25,56.25,56.25
31,dog,,,,,48.89401803901987,0.0,0.0,0.0
32,dog,,,,,51.005514407757914,0.0,0.0,0.0
33,dog,,,,,37.68703357920334,0.0,0.0,0.0
34,dog,,,,,28.559149146989657,0.0,0.0,0.0
35,dog,,,,,26.25,0.0,0.0,0.0
36,dog,,,,,33.75,0.0,0.0,0.0
37,dog,,,,,30.23346655611956,0.0,0.0,0.0
38,dog,,,,,33.95769426801532,0.0,0.0,0.0
39,dog,,,,,41.92627457812106,0.0,0.0,0.0
40,dog,153.05554547287727,153.05554547287727,153.05554547287727,0.0,79.10633666148371,41.92627457812106,41.92627457812106,41.92627457812106
41,dog,155.23208431248997,155.23208431248997,155.23208431248997,0.0,94.42258734010629,42.75657844121767,42.75657844121767,42.75657844121767
42,dog,159.5900999435742,159.5900999435742,159.5900999435742,0.0,102.97147663309487,40.38873605350878,40.38873605350878,40.38873605350878
43,dog,,,,0.0,0.0,23.717082451262847,23.717082451262847,23.717082451262847
